Job Title,Job Description,Requirements,embeddings
Assistant Operations Executive (Depot Management),"Monitor customer inventory and email correspondence.
Monitor incoming gate return and transshipment volumes, ensuring effective yard space management.
Handle equipment breakdowns, coordinating replacements with the control center.
Send daily resource emails based on operational requirements.
Manage RTG block activities and coordinate cross-gantry operations to address exceptions.
Track IYS productivity, monitor PM waiting times, and allow the operations team to utilize PMs when no shifts are scheduled.
Respond to exceptions, such as reefer malfunctions and container exchanges.
Monitor gate return queues and make diversion decisions during bad weather or heavy traffic.","Diploma in Logistics / Supply Chain Management. Other disciplines with experience in logistics operations management preferable in 3rd party logistics, distribution or manufacturing environment will also be considered
Proficiency in MS Office
Ability to work independently 
Good communication skills
Non-shift","[-0.03205348178744316, -0.04513879120349884, -0.006851576268672943, 0.06803540140390396, -0.0407339371740818, -0.034423381090164185, 0.02292279340326786, -0.011279280297458172, -0.06559288501739502, 0.02144319750368595, -0.010461400263011456, -0.010054649785161018, -0.04990365728735924, 0.036254409700632095, 0.0009639207273721695, -0.015062304213643074, 0.06900503486394882, -0.01839696429669857, 0.020091794431209564, -0.07635437697172165, -0.01302262395620346, -0.0015878789126873016, -0.012697117403149605, -0.0040162065997719765, -0.06967735290527344, -0.03422713652253151, -0.04026774317026138, 0.03498820960521698, 0.0020827120169997215, -0.05474322289228439, 0.004716299474239349, 0.02519628033041954, 0.025736957788467407, 0.06318330019712448, -0.0005844328552484512, 0.06786969304084778, 0.08166377991437912, -0.0017150556668639183, 0.06015429273247719, -0.06396116316318512, -0.042792901396751404, -0.020981818437576294, -0.02420949749648571, -0.024654589593410492, -0.0055586956441402435, -0.07081835716962814, -0.027613643556833267, -0.03129768744111061, -0.03187410160899162, 0.011049271561205387, -0.00557242427021265, -0.031277962028980255, -0.00849957950413227, 0.01646805740892887, -0.012049850076436996, 0.03117302432656288, 0.03171125799417496, 0.0179294366389513, -0.024169940501451492, -0.0536288358271122, -0.03836873918771744, 0.03270520642399788, -0.006824035197496414, -0.002601936925202608, 0.004901320673525333, -0.010311994701623917, -0.06078362464904785, 0.05283792316913605, -0.012478463351726532, -0.05882733687758446, -0.03588929399847984, -0.07332918792963028, -0.06590847671031952, 0.05332579091191292, 0.05851975083351135, -0.0069450391456484795, 0.06283999234437943, -0.04175465926527977, 0.023693494498729706, 0.022431030869483948, 0.01762418821454048, 0.07365793734788895, -0.03727864474058151, 0.0375053845345974, -0.05156173184514046, -0.07206247001886368, -0.05186843499541283, 0.07401809096336365, 0.028824908658862114, -0.005953517742455006, 0.054797641932964325, -0.02733846753835678, -0.03497360646724701, 0.022686008363962173, 0.00709284283220768, -0.018223697319626808, -0.049339793622493744, 0.0019155330955982208, 0.026423737406730652, -0.014518664218485355, 0.039054036140441895, 0.015963610261678696, -0.013584391213953495, 0.00039623305201530457, -0.053504008799791336, 0.029747579246759415, 0.03550141677260399, -0.000878550112247467, 0.01448405347764492, -0.01636546291410923, -0.02140643075108528, 0.04840824007987976, -0.06515892595052719, -0.028858739882707596, 0.012309219688177109, 0.04158909618854523, -0.09042158722877502, 0.040108032524585724, 0.02265510894358158, -0.021594662219285965, -0.013293158262968063, 0.026897862553596497, 0.025687038898468018, -0.07852824777364731, 0.039716340601444244, 0.027027521282434464, 0.01928083784878254, 2.9004941070875927e-33, -0.04952291399240494, 0.0049701957032084465, -0.0432441271841526, 0.019715070724487305, 0.11728212237358093, 0.0604264959692955, 0.02296481281518936, 0.02042461559176445, 0.07971586287021637, 0.02370322123169899, -0.0865691751241684, 0.054697565734386444, -0.008104289881885052, -0.03924534097313881, 0.04218554496765137, -0.04097214341163635, -0.012827576138079166, 0.07667892426252365, -0.006302470341324806, 0.006792036816477776, -0.02636122889816761, -0.10895638167858124, -0.008262504823505878, -0.005355143919587135, 0.09872423112392426, 0.03930461034178734, 0.061597999185323715, 0.03472305089235306, 0.12187828123569489, 0.010256397537887096, 0.03062344342470169, 0.011085670441389084, -0.07650476694107056, 0.01900976337492466, 0.014102859422564507, 0.03477403521537781, -0.10349217802286148, -0.06023291125893593, 0.02324579283595085, -0.041746556758880615, -0.07660313695669174, -0.0004952657036483288, 0.016634760424494743, 0.012374872341752052, -0.05259528383612633, 0.019874077290296555, 0.07668870687484741, -0.029569316655397415, 0.02063189074397087, 0.03121374547481537, -0.04224421828985214, -0.014314945787191391, 0.02232329547405243, -0.04234297201037407, 0.05213639885187149, 0.006268818397074938, 0.08276768028736115, -0.01180204562842846, 0.0161932073533535, -0.0014045864809304476, -0.01822878047823906, 0.025235142558813095, -0.02730729803442955, 0.04495867341756821, 0.03765256702899933, -0.04843209683895111, -0.0015577515587210655, -0.01110736932605505, 0.0688612163066864, -0.013671916909515858, -0.004040645435452461, -0.02428342029452324, 0.04556363448500633, 0.03791004419326782, -0.017268817871809006, -0.011212075129151344, -0.021978795528411865, 0.0030395090579986572, 0.022409403696656227, -0.01546982116997242, -0.025073550641536713, -0.0012861518189311028, 0.013898597098886967, -0.011936753988265991, 0.07888489961624146, -0.0063876500353217125, 0.009965261444449425, 0.0001576114445924759, 0.014112907461822033, 0.06182375177741051, -0.017529860138893127, 0.027936618775129318, -0.053766880184412, 0.11524225771427155, -0.008015919476747513, -4.1622932531472526e-33, -0.010069339536130428, 0.061570703983306885, -0.01683870144188404, -0.010220822878181934, -0.03909393027424812, 0.048446498811244965, 0.04559411108493805, -0.04797327518463135, 0.037758056074380875, -0.014879830181598663, -0.05917748063802719, 0.016621679067611694, -0.06979422271251678, 0.02722807228565216, -0.000947391614317894, -0.03489453345537186, -0.020609449595212936, -0.03652520850300789, -0.033442575484514236, 0.04408752918243408, 0.029177717864513397, 0.007908754982054234, -0.08387778699398041, 0.06478723138570786, 0.005085840821266174, 0.016149159520864487, -0.053306013345718384, -0.03638230264186859, -0.021807825192809105, -0.015301047824323177, 0.05753427743911743, -0.0062983958050608635, 0.011355657130479813, -0.008727040141820908, 0.0015971153043210506, -0.061938196420669556, 0.024286430329084396, 0.02050943672657013, 0.02982851304113865, 0.08368127048015594, 0.06717715412378311, 0.012958161532878876, 0.014201341196894646, 0.005208893679082394, -0.05702448636293411, -0.0015552397817373276, 0.02717735432088375, -0.044881671667099, 0.0341777540743351, -0.00981652457267046, -0.05836571753025055, 3.655441105365753e-05, -0.005104376468807459, -0.00720065925270319, 0.001260889694094658, 0.04277754947543144, -0.028133701533079147, -0.0643494725227356, -0.031052689999341965, -0.01642933115363121, 0.052649736404418945, 0.004608298651874065, 0.07930650562047958, -0.004030171781778336, 0.033449362963438034, 0.01314772292971611, 0.035740312188863754, -0.04180824011564255, -0.01789999194443226, 0.021394217386841774, 0.04132439196109772, 0.016130462288856506, 0.0055717662908136845, -0.03662830591201782, -0.027561087161302567, -0.08495262265205383, -0.05133860185742378, -0.05145890638232231, -0.06001175940036774, 0.006488066166639328, 0.004976317286491394, -0.032024893909692764, -0.01799013279378414, 0.05807224288582802, -0.04158822447061539, 0.008638658560812473, 0.030479930341243744, -0.052982304245233536, 0.042062174528837204, -0.11245046555995941, -0.055452801287174225, 0.0063006458804011345, -0.05902727693319321, -0.007410613354295492, 0.009243125095963478, -3.583410546070809e-08, -0.08155135810375214, -0.03128010779619217, 0.04550507664680481, -0.03411119803786278, -0.03127081319689751, -0.013014955446124077, -0.047388751059770584, 0.01568092592060566, -0.002474946901202202, 0.053133025765419006, -0.018688343465328217, -0.09313011169433594, -0.06822534650564194, -0.0077162375673651695, 0.080142542719841, -0.022245395928621292, 0.03160372003912926, 0.08588415384292603, -0.01885647512972355, -0.010570348240435123, 0.08410584926605225, -0.0005971634527668357, -0.003721802495419979, 0.06292184442281723, -0.021478164941072464, -0.02008509449660778, -0.021393371745944023, -0.009788918308913708, 0.04552377760410309, 0.05356469750404358, 0.03661677986383438, 0.01672593504190445, 0.032827649265527725, -0.024273578077554703, -0.026651771739125252, 0.034509290009737015, 0.041516222059726715, -0.027261847630143166, 0.017613520845770836, 0.019123416393995285, -0.057303138077259064, 0.014268863946199417, -0.020868731662631035, 0.03340040519833565, 0.013605853542685509, -0.018908154219388962, -0.09955552220344543, 0.03625993803143501, -0.03775433823466301, -0.010320491157472134, 0.051373258233070374, -0.02388790436089039, 0.01798764243721962, 0.03193756937980652, 0.04358867183327675, 0.02843545563519001, 0.03729936480522156, -0.04460211098194122, 0.0014899931848049164, 0.07125549018383026, -0.02009940892457962, -0.006167043000459671, -0.014353386126458645, -0.026228608563542366]"
AI Analyst (Simulation),"Be a part of the team that develops, analyzes, evaluates, and recommends operational strategies for PSA and contribute towards building the largest fully automated container terminal in the world. You will help to conceptualize innovative ideas that can improve container terminal processes and elevate the productivity of operations in PSA. Leveraging on discrete event simulation and emulation technology, you will evaluate, in the virtual environment, these ideas and recommend the best options to management for implementation. You can also look forward to a unique opportunity to work with state-of-the-art equipment and be called upon to build AI-driven solutions that automate and optimize the operation of these equipment.","A good degree in Computer Science, Industrial & Systems Engineering, Operations Research, or a related field.
A graduate degree and relevant simulation or optimization project experience is an advantage.
Strong programming skills in languages such as C++, Python, etc.
Proficiency in discrete event simulation software packages, and/or optimization software packages is a plus.
Good problem-solving skills and the ability to work independently and as part of a team.
Ability to explain complex concepts to the layman with good  communication and presentation skills is an advantage.","[-0.013844195753335953, 0.051537513732910156, -0.026329239830374718, -0.03664407879114151, -0.03964954614639282, -0.05834362655878067, 0.02639094553887844, -5.9670768678188324e-05, -0.027643993496894836, 0.03192378953099251, -0.12273445725440979, -0.019992250949144363, 0.01329889427870512, -0.016587017104029655, 0.02551601268351078, 0.008474206551909447, 0.040334757417440414, -0.009498409926891327, -0.02745203673839569, -0.08586356043815613, -0.0341031551361084, -0.058311328291893005, 0.019509054720401764, -0.09065526723861694, -0.04514667019248009, 0.04552073776721954, -0.014411902986466885, -0.002306787297129631, 0.03075806424021721, 0.020333686843514442, 0.0002692919224500656, -0.0013695908710360527, 0.06292906403541565, -0.031509801745414734, 0.10082744061946869, 0.04032081365585327, 0.022512119263410568, -0.014075852930545807, 0.03527804836630821, 0.015516066923737526, -0.042238347232341766, -0.009204985573887825, -0.012160521000623703, -0.03751209378242493, 0.06020268425345421, -0.029348080977797508, 0.03654725104570389, -0.05140044540166855, -0.0369425006210804, -0.02731599472463131, -0.022442976012825966, -0.02192857302725315, 0.017830178141593933, -0.04418760910630226, -0.027509381994605064, 0.049582287669181824, 0.07210101187229156, -0.005392282269895077, -0.030383076518774033, -0.0355575866997242, -0.018379682675004005, 0.005867965519428253, 0.005780011881142855, -0.04886208102107048, 0.025345681235194206, -0.0741240531206131, 0.018041808158159256, 0.10406924039125443, 0.018532447516918182, -0.026880472898483276, -0.002141122240573168, 0.02270999737083912, -0.018357599154114723, 0.03226146847009659, 0.045500561594963074, -0.03450421988964081, -0.006253894418478012, -0.022824447602033615, 0.03756699711084366, 0.030067279934883118, 0.09785900264978409, 0.033315662294626236, -0.046456679701805115, 0.018648048862814903, -0.05290861427783966, -0.007149357348680496, -0.036184705793857574, 0.05593069642782211, 0.06565388292074203, 0.03707245737314224, 0.03393261879682541, -0.018961088731884956, 0.0007295403629541397, 0.03368811681866646, 0.014459870755672455, 0.01930059865117073, -0.01512750145047903, -0.05658312141895294, -0.007904616184532642, 0.02968384325504303, -0.024243762716650963, -0.011804623529314995, 0.030453048646450043, 0.007070470601320267, 0.0017475509084761143, 0.020145591348409653, 0.030776372179389, -0.0008271858096122742, 0.0550277978181839, -0.040413908660411835, -0.04442480579018593, -0.0006167236715555191, -0.021247541531920433, 0.016761595383286476, 0.016399459913372993, 0.06124664843082428, -0.05040539801120758, 0.03954274579882622, 0.007688192650675774, -0.018875086680054665, -0.0069179777055978775, -0.029826851561665535, 0.010437412187457085, 0.07320445030927658, 0.030433572828769684, -0.02371521294116974, 0.002988327294588089, -1.2265121831804172e-33, -0.04565183073282242, 0.0060802907682955265, 0.019731901586055756, 0.046429343521595, 0.12009550631046295, -0.0017702504992485046, 0.05502747744321823, -0.02066303789615631, 0.0015772737096995115, 0.027902334928512573, -0.05899655073881149, 0.061573054641485214, -0.011812875978648663, 0.03730157017707825, 0.09539803862571716, -0.00591239333152771, -0.05406063795089722, 0.04139067232608795, -0.013529254123568535, -0.02265525609254837, 0.007177228108048439, -0.0949845016002655, 0.018165629357099533, -0.009328753687441349, 0.07963057607412338, 0.030464693903923035, 0.04242933914065361, 0.0011135013774037361, 0.060789406299591064, -0.005126692354679108, -0.023877903819084167, 0.025792796164751053, -0.07887367904186249, 0.036560799926519394, -8.638575673103333e-05, 0.042434997856616974, -0.04093015193939209, -0.02024400420486927, -0.03430839255452156, 0.04000069200992584, -0.030996687710285187, 0.01541438139975071, 0.04998324066400528, 0.026403846219182014, -0.02587520331144333, -0.03350965678691864, 0.044025782495737076, -0.02982909232378006, 0.012480868957936764, -0.006956691853702068, -0.01409054733812809, -0.025728026404976845, 0.04922685772180557, -0.07377026975154877, 0.0003309349121991545, -0.016490614041686058, 0.06608184427022934, 0.004468241706490517, 0.0015654563903808594, 0.030660631135106087, -0.08283796906471252, -0.007136394269764423, -0.009512153454124928, -0.019615914672613144, 0.007654516026377678, -0.011191059835255146, 0.0064368168823421, -0.007931890897452831, 0.13295282423496246, 0.05212043225765228, -0.05287928879261017, -0.02962275967001915, 0.011411171406507492, -0.023977024480700493, -0.050037823617458344, -0.004291599616408348, -0.00717051699757576, 0.0036310432478785515, -0.019370829686522484, 0.0696827694773674, -0.04184255376458168, 0.03197193890810013, -0.02909022755920887, -0.04446663334965706, 0.05663679540157318, -0.053442586213350296, -0.03807268291711807, 0.02074197307229042, -0.0033204741775989532, -0.04064144566655159, -0.01466120220720768, -0.015748171135783195, 0.01289884839206934, 0.1024479791522026, 0.00490861851722002, -9.216226522042058e-34, -0.03184874355792999, 0.03726216405630112, -0.04118885099887848, 0.06070978567004204, 0.04246373847126961, 0.003205494023859501, 0.018588855862617493, -0.08318184316158295, -0.04307400807738304, -0.041900746524333954, -0.07585036754608154, 0.01662348583340645, 0.0063791535794734955, 0.08147387206554413, 0.0016221124678850174, -0.01467053685337305, -0.033113621175289154, -0.06693533062934875, 0.011060912162065506, -0.008719997480511665, 0.031558383256196976, 0.04128245264291763, -0.04345273599028587, 0.008557001128792763, 0.004936896730214357, -0.03107621520757675, -0.014939549379050732, -0.06730872392654419, 0.011201845481991768, -0.00500850984826684, 0.040112536400556564, 0.01951596885919571, -0.03275880590081215, 0.06860123574733734, 0.033146508038043976, 0.005599222145974636, 0.05238795652985573, 0.009383917786180973, 0.04191917926073074, 0.029466021806001663, 0.028049560263752937, -0.04009990766644478, -0.0005625002086162567, 0.003981697838753462, -0.03622898831963539, 0.06117111071944237, 0.04685292765498161, 0.010885453782975674, 0.05139315873384476, -0.01364257000386715, 0.024581823498010635, -0.033386535942554474, -0.018745336681604385, -0.04237494617700577, 0.04738790541887283, -0.0791594535112381, -0.052629273384809494, -0.03348754718899727, 0.004309235140681267, -0.02482682839035988, 0.028418289497494698, -0.0008533925283700228, 0.08912649005651474, 0.0794055238366127, -0.05780627205967903, -0.008646581321954727, -0.021387670189142227, 0.021562647074460983, -0.07297323644161224, -0.04908785596489906, 0.04177221655845642, 0.05673765763640404, -0.03080633282661438, 0.07519228011369705, -0.08628672361373901, -0.06008726358413696, -0.011269894428551197, 0.00442034937441349, -0.0036473404616117477, 0.004785012453794479, -0.05937326326966286, 0.007211961783468723, 0.0009017018601298332, 0.001904078060761094, -0.07652372121810913, 0.07193070650100708, 0.035669758915901184, -0.037728775292634964, 0.022493798285722733, -0.05357072502374649, -0.030576417222619057, 0.008186547085642815, -0.02537619322538376, 0.043062474578619, -0.07029201835393906, -4.773385597900415e-08, -0.04404085874557495, -0.010875886306166649, 0.00018021278083324432, -0.03483208641409874, -0.04791601002216339, 0.03441871330142021, -0.08155565708875656, -0.0010528694838285446, -0.011944104917347431, -0.03668992221355438, -0.016018763184547424, -0.051602937281131744, -0.006904403679072857, 0.030767418444156647, 0.0643002837896347, 0.043543435633182526, 0.03897179290652275, 0.05190293490886688, 0.0033181989565491676, -0.018965210765600204, 0.07046912610530853, 0.020605722442269325, -0.0035224035382270813, -0.0020928189624100924, -0.03295594081282616, -0.04202563315629959, 0.005321849137544632, -0.04440750554203987, 0.043448444455862045, 0.050043728202581406, 0.019132021814584732, -0.05169377475976944, 0.01832915097475052, -0.005752229131758213, 0.08436362445354462, 0.03377237543463707, 0.03786081075668335, -0.07630609720945358, 0.002251303754746914, -0.05404607951641083, -0.042729124426841736, -0.008996916934847832, 0.0011317338794469833, -0.029635997489094734, 0.0019752196967601776, -0.03313930705189705, -0.018734119832515717, -0.003795216791331768, -0.03147151693701744, 0.05516054108738899, 0.05608280748128891, -0.037816423922777176, -0.057002030313014984, 0.0019726119935512543, 0.04944192245602608, 0.04543643072247505, 0.021108048036694527, -0.0739685520529747, 0.0161714106798172, 0.04571884870529175, -0.05316542834043503, 0.04203801602125168, -0.0337785929441452, 0.022142358124256134]"
Assistant Management Executive (HRS),"You will be part of the management services team to handle the HR administrative functions for supporting departments. You will handle payroll related matters and update employee records in HR systems, handle day-to-day HR transactions such as resignation, transfer, discipline and contract management. Also, you will assist with the processing of medical claims and flexible benefit claims for staff.","• NITEC/Diploma in any discipline

• Good organization and time management skills

• Able to multi-task and work as a team player

• Self-motivated and able to work with minimal supervision

• Able to communicate with individuals at all levels in the organization

• Proficient in Ms Word & Excel","[-0.05403926223516464, 0.020087402313947678, 0.0020371507853269577, 0.03971213847398758, -0.06640997529029846, -0.004900603089481592, -0.00041654985398054123, -0.044743482023477554, -0.038155075162649155, 0.04689061641693115, -0.031343549489974976, -0.054701462388038635, -0.026214614510536194, 0.037187620997428894, 0.04656354337930679, -0.03630244359374046, 0.02762540616095066, 0.009027753956615925, 0.020431101322174072, -0.10117511451244354, 0.01267805602401495, 0.016087282449007034, 0.02571933902800083, -0.058737196028232574, -0.10086455941200256, -0.027711253613233566, -0.020000245422124863, -0.006147032603621483, -0.017629817128181458, -0.04017065092921257, 0.016087127849459648, -0.05815540999174118, 0.0478331483900547, 0.05250968039035797, 0.00033181533217430115, 0.08543925732374191, 0.058786723762750626, 0.006411162205040455, 0.004074881784617901, -0.006801919545978308, -0.028859779238700867, -0.023013215512037277, -0.037559717893600464, -0.021853841841220856, -0.0013947207480669022, -0.027260856702923775, 0.005402829498052597, -0.013221891596913338, -0.07565749436616898, 0.032868511974811554, 0.004725995473563671, -0.01758705824613571, 0.03106873854994774, 0.04208122193813324, 0.039596837013959885, 0.027067460119724274, 0.0075241029262542725, -0.004136396571993828, -0.028696898370981216, -0.02138439193367958, -0.044244520366191864, 0.009897824376821518, -0.03344273567199707, 0.005079078488051891, 0.026197146624326706, -0.04450850933790207, -0.044909361749887466, 0.04952435567975044, 0.002697031944990158, -0.09904521703720093, 0.06335186958312988, -0.10427828133106232, -0.058751463890075684, 0.006118441000580788, 0.06420557200908661, 0.0001013842411339283, 0.029462695121765137, -0.027386680245399475, 0.04731231555342674, -0.006950899958610535, 0.022062163800001144, 0.05652862787246704, 0.002690979279577732, 0.04012594372034073, 0.0004910342395305634, -0.02516358345746994, -0.024701979011297226, -3.6522746086120605e-05, -0.003998027183115482, 0.04588552564382553, 0.07925241440534592, -0.02017483301460743, -0.03011252172291279, -0.02349509857594967, -0.014624376781284809, -0.02204919047653675, -0.010217476636171341, 0.02069508284330368, -0.013634245842695236, 0.006370339542627335, 0.03914259746670723, -0.026833660900592804, -0.03245139122009277, 0.047963522374629974, -0.07367151975631714, 0.0181866567581892, 0.053376588970422745, 0.017789926379919052, 0.01698732003569603, 0.04247118905186653, -0.026209764182567596, 0.03793010115623474, -0.10939840972423553, 0.00462923850864172, 0.0352264940738678, 0.02200865000486374, -0.07053001970052719, 0.06180078536272049, 0.001994130201637745, -0.02610398642718792, -0.018449649214744568, 0.09676619619131088, 0.008852958679199219, -0.017692923545837402, -0.024700559675693512, 0.04156194627285004, 0.010277585126459599, -7.954781493655583e-34, 0.007504895329475403, 0.05347520858049393, -0.0425591841340065, 0.04808442294597626, 0.036278948187828064, 0.007032459601759911, 0.007335600443184376, 0.01252022385597229, 0.056359365582466125, 0.008769102394580841, -0.01530827209353447, 0.07255178689956665, -0.028679441660642624, -0.02747499756515026, -0.0014848392456769943, 0.032584600150585175, -0.027975089848041534, 0.05289604887366295, -0.0034771771170198917, 0.09429451823234558, -0.010553240776062012, 0.015959560871124268, -0.010850534774363041, 0.018601279705762863, 0.03211851790547371, 0.05612942576408386, -0.028847282752394676, -0.027216143906116486, 0.0611594021320343, 0.0018605301156640053, -0.017075559124350548, -0.011347685009241104, -0.0703035518527031, -0.026241065934300423, 0.01892787218093872, 0.030226420611143112, -0.061248455196619034, -0.03891492635011673, 0.0203899797052145, -0.04746655374765396, -0.0476037934422493, 0.024037135764956474, 0.03138779103755951, -0.015292787924408913, -0.009137396700680256, 0.02204243279993534, 0.06922823190689087, 0.019086778163909912, 0.05371485650539398, 0.07004021108150482, -0.057833731174468994, -0.05649014562368393, 0.022204894572496414, -0.05829741805791855, 0.05908716470003128, 0.003969687037169933, 0.05378788709640503, 0.014296196401119232, 0.02494986355304718, -0.008669349364936352, 0.049258776009082794, -0.017085494473576546, -0.06940735876560211, 0.006277540698647499, -0.0076446374878287315, -0.06896334886550903, -0.002331671305000782, -0.02619634009897709, 0.13005557656288147, -0.04902925342321396, -0.06810358166694641, -0.006137281656265259, 0.06756730377674103, 0.05074417218565941, -0.0764453113079071, 0.004489447921514511, -0.03446514904499054, -0.04538089409470558, 0.0071512265130877495, 0.06776988506317139, 0.013865078799426556, 0.006531252525746822, 0.021933598443865776, -0.02865816280245781, 0.09774965047836304, -0.014773506671190262, 0.0006880881264805794, -0.0119419414550066, -0.025799505412578583, 0.011386405676603317, 0.025853022933006287, -0.004482022020965815, 0.000932847149670124, 0.09273118525743484, -0.027335017919540405, -2.2832379827089786e-33, 0.03351394459605217, -0.006888878997415304, -0.028947629034519196, -0.03465080261230469, -0.0039026420563459396, 0.06672258675098419, -0.008005291223526001, -0.006865709088742733, 0.0072171688079833984, 0.0030527582857757807, -0.0003918609581887722, -0.007216206286102533, -0.049631912261247635, 0.016835365444421768, -0.0500384122133255, -0.014975059777498245, -0.03892441838979721, -0.018283721059560776, -0.02397862821817398, 0.029672272503376007, -0.00897507555782795, 0.006159957032650709, -0.0006398903205990791, 0.07384445518255234, 0.025720611214637756, -0.017069842666387558, -0.011169028468430042, -0.04083738103508949, 0.0043750121258199215, -0.008528295904397964, 0.06866095960140228, -0.02525613084435463, -0.051767438650131226, 0.01756756752729416, -0.02941601350903511, -0.06074497103691101, 0.04220645874738693, -0.02079544961452484, -0.005341685377061367, 0.058942168951034546, 0.0848054438829422, 0.008569885045289993, -0.006940385326743126, -0.004588138312101364, 0.008382315747439861, 0.023068062961101532, -0.013339193537831306, 0.002247272990643978, -0.05432964116334915, -0.035501740872859955, 0.010230082087218761, -0.046476468443870544, -0.025050457566976547, -0.00561941135674715, 0.02806665748357773, -0.018398689106106758, 0.02053982764482498, -0.08541683852672577, 0.01580171100795269, -0.06466294825077057, -0.009920164942741394, 0.02175888419151306, 0.026608116924762726, 0.09007778763771057, -0.05438661202788353, -0.03189259022474289, -0.020802076905965805, 0.017135534435510635, -0.07506506145000458, 0.00264591071754694, -0.028122613206505775, 0.01818445324897766, 0.05752747133374214, -0.046157367527484894, -0.07849618047475815, -0.05520512908697128, -0.019569898024201393, -0.0946827083826065, -0.013612080365419388, -0.018077075481414795, -0.08205140382051468, -0.028868108987808228, -0.0063826595433056355, 0.007389221340417862, -0.013789991848170757, 0.06548738479614258, 0.04678444564342499, -0.07108865678310394, 0.042931608855724335, -0.07507798075675964, -0.0345437116920948, -0.010770885273814201, -0.04144096001982689, 0.0462317131459713, -0.032888270914554596, -3.591706132510808e-08, -0.027305252850055695, -0.01569797471165657, 0.007761204615235329, -0.03407606855034828, -0.04730825126171112, -0.0157279372215271, -0.10404813289642334, -0.004403218626976013, 0.059410274028778076, 0.05187983065843582, 0.04401885345578194, -0.02673647366464138, -0.0340067483484745, -0.06268420815467834, 0.080990731716156, -0.002985290251672268, 0.04360196739435196, 0.12029130756855011, 0.035607948899269104, -0.030168728902935982, 0.02016565576195717, 0.011574912816286087, -0.056194666773080826, 0.061218392103910446, 0.019837848842144012, -0.03555474430322647, -0.04446108266711235, -0.03729020804166794, -0.027419473975896835, 0.05385676771402359, 0.01644633710384369, -0.0044224876910448074, 0.04902799427509308, -0.03866230696439743, 0.005171072669327259, 0.008433760143816471, 0.04196113720536232, -0.07043503224849701, 0.02853681519627571, -0.024192269891500473, -0.043908633291721344, 0.052993856370449066, 0.00025346409529447556, 0.010918442159891129, 0.02762780338525772, -0.03209753334522247, -0.033629875630140305, 0.02683163248002529, -0.009667137637734413, -0.016256583854556084, 0.024892594665288925, 0.03156450018286705, 0.0009175259619951248, -0.01759820058941841, 0.03469853103160858, 0.0384153351187706, 0.05742388218641281, -0.05074127018451691, -0.040587976574897766, 0.0058745332062244415, 0.07701221853494644, -0.020130092278122902, 0.011526480317115784, 0.0020644795149564743]"
